rank,id,title,authors,year,venue,doi,grade,topic,rc,why,prerequisites,focus,must_understand,borrow,do_not_copy,answer_after,direct_decision,download
1,L03,An Access Control Model Supporting Periodicity Constraints and Temporal Reasoning,Elisa Bertino; Claudio Bettini; Elena Ferrari; Pierangela Samarati,1998,"ACM Transactions on Database Systems, 23(3)",10.1145/293910.293151,S,T1,研究内容一,它是非连续/周期时间授权最接近的经典语义基础，直接限制I*的新颖性表述。,集合、区间与访问控制基础,周期表达式、时间推理、唯一有效授权集和物化算法,周期语义、唯一性条件、推理闭包、复杂度,借鉴边界用例和规则覆盖,不能把其唯一授权集等同I*，不能由此声称Dyadic压缩,已有工作解决了什么，I*新增哪种确定性？,I*主表示与C(P)降级,是
2,L04,TRBAC: A Temporal Role-Based Access Control Model,Elisa Bertino; Piero A. Bonatti; Elena Ferrari,2001,"ACM Transactions on Information and System Security, 4(3)",10.1145/501978.501979,S,T1,研究内容一,TRBAC是时态角色访问控制经典基线。,RBAC和周期表达式,角色启用/禁用、触发器、冲突,时间事件驱动状态变化,借鉴状态转换和冲突测试,不要把角色触发语义强行并入窄编译器,I*窗口与角色状态有何区别？,相关工作和范围边界,是
3,L05,Generalized Temporal Role Based Access Control Model,James B. D. Joshi; Elisa Bertino; Usman Latif; Arif Ghafoor,2005,"IEEE Transactions on Knowledge and Data Engineering, 17(1)",10.1109/TKDE.2005.1,S,T1,研究内容一,GTRBAC展示复杂时态语义完整设计空间。,TRBAC和约束,事件、优先级、运行时语义,冲突和优先级规则,借鉴边界和拒绝状态,不能声称覆盖GTRBAC全部表达力,为何降低表达力换确定性？,研究内容一冻结范围,是
4,L06,Security Analysis for Temporal Role Based Access Control,Emre Uzun; Vijayalakshmi Atluri; Jaideep Vaidya; Shamik Sural; Anna Lisa Ferrara; Gennaro Parlato; P. Madhusudan,2014,"Journal of Computer Security, 22(6): 961–996",10.3233/JCS-140510,S,T1,研究内容一,它展示真正的时态授权安全分析。,状态机、可达性,形式语义、安全查询、复杂度,攻击/错误状态定义,借鉴安全属性表和反例,测试通过不等于形式化证明,你的证据属于定理、模型检查还是测试？,证据等级表述,是
5,L20,Distributed Attribute-Based Access Control System Using Permissioned Blockchain,Sara Rouhani; Rafael Belchior; Rui S. Cruz; Ralph Deters,2021,"World Wide Web, 24(5): 1617–1644",10.1007/s11280-021-00874-7,S,T3/T6,研究内容二/竞争性工作,许可链分布式ABAC的高相关系统工作。,ABAC、Fabric、许可链交易流,架构、链上状态、部署和性能,授权路径与实验单位,借鉴真实多节点和配置比较,Fabric结果不能迁移到Besu,CAP2、Nonce和多Verifier新增什么？,研究内容二竞争表,是
6,L23,Macaroons: Cookies with Contextual Caveats for Decentralized Authorization in the Cloud,Arnar Birgisson; Joe Gibbs Politz; Úlfar Erlingsson; Ankur Taly; Michael Vrable; Mark Lentczner,2014,NDSS 2014,10.14722/ndss.2014.23212,S,T4,研究内容二/能力安全,上下文能力和衰减授权的代表作。,MAC、Bearer能力、委托,caveat、验证、安全考虑,衰减和上下文验证,借鉴能力字段—攻击矩阵,CAP2不是Macaroon且不自动PoP,CAP2如何防跨域、旧状态和重放？,CAP2字段与验证顺序,是
7,L27,Practical Byzantine Fault Tolerance,Miguel Castro; Barbara Liskov,1999,USENIX OSDI 1999: 173–186,,S,T6,研究内容二/BFT理论,PBFT是4验证者容忍1故障的理论根基。,状态机复制、异步模型,正常路径、视图变更、安全活性,3f+1和2f+1交集,借鉴故障注入,不能把PBFT等同QBFT实现,部署假设和故障阈值是什么？,QBFT理论背景,是
8,L32,QBFT Consensus Protocol,Hyperledger Besu Project,2026,Hyperledger Besu Current Documentation,,S,T6,研究内容二/工程实现,Besu工程配置的直接权威来源。,PBFT/IBFT基础、Besu配置,验证者、epoch、block period、timeout,官方故障条件和最终性,配置冻结和版本记录,官方文档不是形式证明,为何4 Validator+1 RPC？,实际部署,是
9,L34,Hybrid Public Key Encryption,Richard Barnes; Karthikeyan Bhargavan; Benjamin Lipp; Christopher A. Wood,2022,IETF RFC 9180,10.17487/RFC9180,S,T8,研究内容三/核心实现,RecipientEnvelope的规范基础。,KEM/DEM、DH、HKDF、AEAD,模式、密钥调度、AAD、测试向量,enc/context/nonce语义,官方测试向量和互操作,RFC不定义多接收者Header,每个Envelope应绑定什么？,HPKE套件和Header字段,是
10,L35,Analysing the HPKE Standard,Joël Alwen; Bruno Blanchet; Eduard Hauck; Eike Kiltz; Benjamin Lipp; Doreen Riepel,2021,EUROCRYPT 2021: 87–116,10.1007/978-3-030-77870-5_4,S,T8,研究内容三/安全分析,防止“使用标准=整个系统已证明安全”。,游戏式安全、KEM/AEAD,模型、覆盖模式和证明限制,证明范围与假设,负向测试和声明格式,不能扩展到KeyStore和任务恢复,系统安全论证由哪些层组成？,安全边界,是
